decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.4900978,1251244232409091662,3.2472571,212.4956684,-21881.8849214,280.3726299,-764.2492127,-904.0774381,134.6286021,-1324.9944726,2.0,396.5067758,0.7982509
-44.5682556,1251261824595134873,0.0527374,152.1778756,-0.1842849,24.7995266,5.0031776,-23.9612325,106.4563424,-44.5958757,2.0,35.0718269,-0.9732628
-44.5936727,1251244232409091152,111.3073863,758.3796575,514.1121039,5659.2522145,3169.6660824,-2217.7310003,535.790974,-8148.8383466,2.0,8003.3912347,9.7133024
-44.5516405,1251261824595134449,55760.5258108,390.3949139,1618.3876251,29668.116654,132753.961177,24616.5103214,210.3690457,-10893.3513615,3.0,75835.3530572,126.8592988
-44.5849984,1251253028502110764,102233.0677327,575.545189,4564.9902857,136436.099236,420285.4677483,205611.3367188,349.5815004,147413.2692763,2.0,192949.7819368,254.3988325
-44.5185955,1251253028502110745,0.1463022,142.1347641,0.0689878,38.5627038,-760.3867745,-792.8817776,99.5630564,-837.5121821,2.0,54.5358987,-0.9238581
-44.5607242,1251253028502110741,143.7809771,323.6241457,-1.489105,737.2503226,1643.4541859,-278.4041685,101.1326196,-2254.9876221,10.0,1304.0656526,3.1542027
-44.5641374,1251253028502110738,8.3922308,194.8695578,0.0077611,57.1399752,-354.5098262,-755.7703384,86.1364818,-1083.8499242,5.0,259.5539534,0.2301325
-44.5771057,1251253028502110793,26.0254718,376.8354174,-5.5809168,470.7168033,-80.0346392,-1344.6029931,124.2566433,-2448.7075985,9.0,717.5406243,0.7848162
-44.5513775,1251253028502110643,59.3483684,245.6279166,-1.6922301,505.5439195,2219.1348482,1194.5299841,76.5979522,205.2628159,10.0,668.8403169,1.8454215
-44.5856044,1251253028502110641,2.4391704,253.8337934,-2.0607216,280.3240458,1331.232259,1048.2622935,179.4815999,770.5841674,2.0,396.4380674,1.1992248
-44.5623071,1251253028502110681,173.222575,206.0958894,-0.5887903,225.6884253,1597.7824501,335.601823,66.2356664,-997.7478681,9.0,844.6120203,2.5532427
-44.4779876,1251253028502110679,9505.8709728,737.3722785,147.7718767,50843.9931669,-178881.5270765,-231575.239376,521.1420342,-280569.5134103,2.0,71904.2647018,95.2606079
-44.5101217,1251253028502110991,8.6491676,677.7320388,15.2485563,1412.0258565,-3601.5295932,-5185.814312,476.5401476,-6425.5813062,2.0,1996.9061167,2.0582034
