decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.6156907,1249546586455804218,0.3667595,255.7944234,-56.631348,109.5524931,-1247.6683991,-1353.7186957,180.8046286,-1466.7733854,2.0,154.9306216,-0.7957125
-44.5003543,1249546586455804227,25.4565305,138.2462501,178.0103656,511.4552878,1032.5881564,260.0577744,87.1682171,9.6775807,2.0,723.3070046,3.5157037
-44.5042448,1249546586455803179,1.8187691,194.1662123,22441.1419632,185.7453581,-889.4755237,-1045.8471121,135.9971039,-1260.96624,2.0,262.6836046,0.8097464
-44.5422276,1249546586455804118,0.9381722,253.7620944,-32.5792988,176.6430848,-1044.0861797,-1158.6293132,170.7295159,-1397.3723493,2.0,249.8110462,-0.0393133
-44.5838287,1249546586455804120,271345.2945838,1118.8954335,5868.2667948,6937.5906061,68534.6911937,-80155.9337728,411.2204187,-445300.1021051,7.0,189294.7294265,111.9771514
-44.6415544,1249546586455804121,0.0,447.9397933,-0.1547601,0.0,-9489.6284645,-9489.6284645,316.7412654,-9489.6284645,2.0,0.0,-1.0
-44.6211844,1249546586455803241,16.4850214,209.0559158,18.9079905,212.3934597,1182.424966,800.0632816,119.1403301,-20.0791749,3.0,641.8003781,1.5308843
-44.5298478,1249546586455801868,773.431562,594.5391746,0.3786919,1563.9855801,6308.146949,2629.0401809,92.4890341,-5874.3971452,41.0,2508.4963108,2.699836
-44.4957755,1249546586455801867,47.4355571,348.9137438,-0.1151025,410.445841,1722.95167,360.3311642,92.9296434,-683.2252212,14.0,664.2395744,0.8269346
-44.5151304,1249546586455801866,910.503509,688.5217029,-1.8014948,3047.9021409,5631.9954151,-1091.6573608,116.2083205,-8770.3919545,35.0,3507.9272593,3.834718
-44.5181693,1249546586455801865,121677.781942,485.3310902,60.8673998,77185.4212057,179932.8693324,48224.575745,206.3958706,-18104.7266089,5.0,84268.659288,165.5011637
-44.5508552,1249546586455801862,5677545.8384043,1156.1657659,151.1456367,246107.8201603,860902.4284171,323964.6438984,159.2130722,-317048.6060872,46.0,340404.2253123,299.2985929
-44.5881457,1249546586455803073,2.6622682,179.5759024,2.2104486,207.5268279,1383.9209068,1152.6314282,126.3521005,968.8672511,2.0,293.4872545,1.2200514
-44.4853129,1249546586455801875,655.7838848,795.1424603,-0.0408377,1580.2702956,552.5878174,-4509.4744564,104.0568437,-13757.8405777,58.0,2680.2024598,2.0317043
