decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ,gPSFluxSkew
-44.5473869,1248640588874514886,11.6166989,144.805781,-0.2536767,115.5116369,-109.1595647,-598.2252638,52.743023,-825.5245674,7.0,232.7160381,0.1636278,1.3898579
-44.5036866,1248631792781492674,4.4143874,240.7319775,-0.0649357,86.3051031,334.9194068,-4.6530917,97.7435165,-341.3238448,6.0,222.0147906,-0.238261,0.3315763
-44.6405579,1248649384967537999,716941.7254836,612.9878302,-2591.5550147,109113.9509294,753556.8151598,419.5161472,265.640188,-119010.0734761,4.0,408641.4042482,362.2082396,1.6782151
-44.613208,1248649384967537982,154174.4452028,433.2872803,-562.3849178,1032.2135421,103413.7474937,-80101.7003829,238.4664686,-128517.9082615,3.0,133608.8263181,180.3844662,1.7319345
-44.583316,1248649384967538188,75486.1602131,492.9966872,-293.4223528,11391.804659,258345.0906404,143890.2722512,215.1481032,100295.8919724,5.0,72743.3565725,104.3012873,0.7797167
-44.5109406,1248631792781492598,0.1020763,202.9833024,0.0258508,2.530637,1097.1892667,1046.3203125,90.4451465,1023.4378123,5.0,32.7148262,-0.9870725,1.2168371
-44.5654108,1248649384967537811,93822.1875773,487.9236813,-567.9820217,13940.4872511,345538.4542926,169228.9383261,262.1272196,127452.8935833,3.0,122086.6222483,146.5389077,1.7066795
-44.5897223,1248631792781492609,3316.9186079,284.8364296,-40.27582,2723.8773393,-23402.1495758,-33822.6662443,139.5351469,-42646.5129796,4.0,8466.4720671,24.0512609,1.5817624
-44.640419,1248649384967537832,924517.6191205,750.6515348,-1855.3842345,148973.8801531,1104364.1731872,253828.2234491,294.8241626,18122.863727,5.0,408788.0992074,381.7885068,1.3350009
-44.6230655,1248640588874514824,90.4221928,296.0319367,-1.3235288,663.9793842,1884.2053367,385.3154492,93.252063,-930.2444858,10.0,922.5318346,2.0011414,0.3982333
