decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.6191496,1251675240967178655,0.4931913,153.3094309,0.6558541,27.2932546,265.2188322,199.4581239,85.0699294,129.3023559,3.0,71.8994837,-0.8645966
-44.4976638,1251666444874154012,451.0930409,411.5277078,0.5312262,1219.5182746,93.0472272,-2924.6946774,83.3521147,-7289.1311662,24.0,1832.1573678,3.1195125
-44.5902117,1251675240967178959,5.9739987,133.9315168,-1040347.7682154,231.4773876,1997.2332774,1762.9076625,94.6985066,1534.2785021,2.0,327.358461,2.0494094
-44.5667725,1251675240967178952,0.0420815,156.5825244,0.1709418,22.7460859,938.6200896,918.3244015,110.2367131,893.1279178,2.0,32.1678232,-0.9787302
-44.4993458,1251675240967178947,3.1796001,118.6943881,1.1570216,153.9571165,-499.0624106,-582.783935,76.8321627,-806.9766437,2.0,217.7282422,0.7980514
-44.6591337,1251675240967178835,0.7349874,85.1344646,-0.4823202,51.6498936,-437.399728,-493.1268708,60.0581706,-540.6995153,2.0,73.0439801,-0.5079121
-44.582903,1251675240967178826,30.5794304,148.7898327,-4.5407256,496.9143431,377.3441917,-306.8219861,82.5935959,-798.9525913,3.0,590.5023971,2.8722587
-44.6300087,1251675240967178823,80.8889591,184.0663628,-0.2657024,344.8448026,799.736424,-342.1773224,67.7151174,-940.0250771,7.0,591.2686993,2.0251277
-44.4940822,1251675240967178822,66.851202,223.4557833,10.5950714,642.0915196,936.1567507,-347.1700055,117.7655794,-1527.4997891,3.0,1278.0182698,4.2025501
-44.5748539,1251675240967178796,10.2412698,137.6050146,2.5403011,311.3860434,688.3101025,374.6181085,97.2994379,65.5380157,2.0,440.3663657,2.4396223
-44.4765503,1251675240967178795,21.0753323,112.3764644,-1.1656686,258.4834935,190.7037447,-179.8098077,64.1641085,-510.1796945,3.0,354.4406447,2.2577504
-44.5351339,1251675240967178800,56.0089007,89.1112633,5.0935393,471.7132433,507.7186296,12.7606654,62.9537517,-435.707857,2.0,667.1032662,6.6805018
-44.5615457,1251675240967178807,0.8238126,176.692708,-0.7714688,113.4366257,1116.1938629,1008.4207342,124.8237209,889.3206115,2.0,160.4236145,-0.4127278
-44.4749588,1251675240967178935,0.0,127.5562742,-0.0097134,0.0,-593.6039923,-593.6039923,90.1959064,-593.6039923,2.0,0.0,-1.0
-44.5691906,1251675240967178215,20.3649032,162.7067737,2.920093,179.1617586,120.3979738,-237.968981,79.9880997,-822.0011399,4.0,412.9518284,1.3303892
-44.5486425,1251675240967178226,144.419448,176.6092116,-0.7514895,180.5857166,1070.2999554,192.3680218,85.8695301,-1332.0512443,4.0,1137.2725599,4.2207264
-44.5824333,1251675240967178203,0.1311952,130.4518129,0.1606642,33.411627,-691.508032,-724.6533382,92.2411637,-758.331286,2.0,47.2511761,-0.9320968
-44.5627388,1251675240967178325,3.0178376,493.0614317,53023.8296386,607.4940774,-12351.1448267,-13052.5139631,345.49832,-13566.1329815,2.0,859.1263634,1.2669451
-44.6257612,1251675240967178138,0.04763,101.3955731,6262.558528,15.6501301,703.0295134,686.8026477,71.6609663,671.7292531,2.0,22.1326263,-0.975894
-44.6252649,1251675240967178087,714.9200342,589.9258148,-3756.0455155,11153.6616694,275776.2472966,264502.1510093,417.1223051,253468.9239579,2.0,15773.659603,26.0546262
