decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxLinearSlope,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ,iPSFluxSkew
-44.5188528,1250804427757981927,297241.7800284,1222.8000143,-6556.7485436,284567.1150367,71488.6960861,-388118.0233061,579.4572969,-682910.6127474,4.0,381508.1085736,277.426685,-0.19523
-44.5806008,1250804427757980505,6.4567131,653.1113525,-9.6905163,497.4123386,3757.3000265,2785.4576888,376.1153992,1572.7587891,3.0,1144.9922397,0.7958924,-1.3716213
-44.5586393,1250804427757980419,18905.6855459,896.1495315,5270.811429,8255.8824,410973.7894304,345945.7050059,509.9866487,265299.7208784,3.0,81825.8839732,75.346577,-1.7122356
-44.6128052,1250804427757980948,20357.1680734,953.2600936,791.6495073,30248.442373,-162761.8491533,-289246.4976518,546.2165555,-351275.179397,3.0,101242.2990308,74.6520613,1.5597384
-44.6579923,1250813223851000981,17688.417863,595.6413713,-2542.3514862,46152.430326,151269.626775,84551.3006503,341.1712749,38090.5529758,3.0,56909.4609977,76.0907518,0.5419705
-44.6514603,1250813223851000983,56.7227496,469.7914377,20.3539093,2361.136132,2342.2088472,-121.3402267,269.6864134,-2447.0356088,3.0,2394.700271,3.9663223,-0.0419466
-44.6580677,1250813223851000992,3290.4192986,539.8350339,-89.6063134,9622.5184652,54327.3026721,30205.8786806,269.9110803,11602.16819,4.0,17917.4003589,25.9834949,0.8346623
-44.6291744,1250813223851000956,4.2087238,382.0413063,2.5060723,283.339011,-1695.5953275,-2067.9079307,216.9083924,-2788.6391393,3.0,567.2518009,0.4074808,-1.2587208
-44.6534182,1250813223851000931,39.3881728,672.9265209,-5.5895194,1685.0534905,321.1103472,-2077.2108007,299.6575575,-4847.5353075,5.0,2104.7227222,2.3141657,-0.5928131
-44.6551518,1250813223851000934,135.4430422,450.8215195,133.4229256,700.8060809,3773.5111294,901.9786171,212.5283512,-1847.9835045,4.0,2546.7537289,4.7890491,-1.7047754
-44.6219474,1250813223851000945,6.121717,482.559245,3.124058,132.570843,-1980.4935447,-2708.2331491,229.5959595,-3298.7916094,4.0,605.0812857,0.0570707,1.8110935
-44.62873,1250813223851000946,81.5058501,1026.0809374,-1.3277148,1525.8406107,5265.8489247,1876.4846559,307.1709152,-3490.1978244,11.0,2740.8755305,1.4830062,-1.0793993
-44.6440557,1250813223851000950,40.1733605,439.7322235,-2.710988,1888.7911015,-99.4942286,-2395.9458018,250.2448855,-4289.1145323,3.0,2098.1843394,3.2587409,0.2933054
-44.6252075,1250813223851000952,168.3078945,860.4835069,-0.1689793,2016.0440456,3913.0872383,-2009.0399514,256.6713205,-7180.5117777,11.0,3445.9236257,2.7382795,0.6543898
-44.6466654,1250813223851000953,6.3874722,419.2110103,-0.5662559,257.4455416,3066.1378433,2552.2164331,119.2933618,2131.1809226,12.0,306.6274074,-0.4456229,-0.0274393
-44.6325365,1250813223851000955,191858.7694259,1325.1008377,-173.3249471,6301.6463674,74684.2195858,21370.8766123,243.6231131,-359150.4620783,29.0,84224.6294191,25.7471016,-4.2377168
-44.6323786,1250813223851000935,287.6274234,967.7757564,3.0253415,1923.4156217,11743.6949276,3733.8372448,220.8361961,-4039.8082228,19.0,3830.9090386,2.3779686,-0.2623225
-44.6507793,1250813223851000939,63968.3624596,1241.2474967,-97.7728815,5306.2841597,33662.4871894,-397.7844503,246.8354755,-180679.1405057,25.0,56145.7586418,18.8700767,-3.2309309
-44.6306454,1250813223851000940,182.5384114,744.9645557,8.7366255,2625.1188134,4443.4411689,358.053923,220.832523,-3030.5709798,11.0,3007.9876499,3.2664758,-0.0017446
-44.6314059,1250813223851000942,85.8893759,666.30055,0.5502283,667.4931912,1766.3388258,-2648.8499667,199.5314624,-4581.733676,11.0,2029.3141873,1.5151879,1.0486054
-44.6579949,1250813223851001135,51746.9841187,607.621476,196.8984601,14930.77904,85291.9549563,36908.5898439,207.7983791,-26316.18814,8.0,45696.7250988,63.7121658,-1.2670388
-44.6140883,1250813223851001044,56374.352944,462.0827111,-109.4331127,31886.6639002,64697.3789524,-19663.5884047,182.7517482,-64714.0076688,6.0,54150.8485554,85.5747448,0.6952775
-44.652149,1250813223851001038,2.2805505,462.7055904,0.142627,224.5692969,3195.1742265,2681.742252,173.0598021,2404.5596741,7.0,288.2425886,-0.6667694,0.7578874
-44.5867173,1250813223851001041,1518107.962402,1186.6083204,44.1538019,92809.521578,2195991.910557,48348.5295559,375.5383414,-166618.5868328,7.0,890530.9529371,341.1039848,1.6888323
-44.6581453,1250813223851001043,23731.270347,561.4171883,91.6753313,31614.4067384,43576.5757619,-21352.1766107,278.1818133,-78145.8502067,4.0,49743.2890844,65.4664218,0.0216278
-44.631632,1250813223851001032,7.5845443,536.8339033,1.4189052,345.1654654,1252.9818817,45.2931134,309.6316694,-702.3496985,3.0,1043.6391222,0.6592883,1.521354
-44.6032849,1250813223851001034,133156.0821585,988.0808249,-499.6980878,89940.7006854,443859.7334039,236673.5279534,395.7977674,50643.8761706,6.0,153912.6152323,135.570615,-0.6138218
-44.6141721,1250813223851001035,59951.755415,578.4271222,757.06356,17782.224613,205788.4438165,36086.2735477,312.2543924,-5962.5261352,3.0,117458.1875647,119.0830286,1.6874976
-44.6140465,1250813223851001076,13565.8498704,561.2805822,-11850.1781846,14658.9584614,120580.0036509,58035.17928,320.4437898,29259.7648384,3.0,49042.8774731,60.6974081,1.559592
-44.4865002,1250813223851000740,3931.8170962,612.4489574,-22.8560032,8836.4986069,-147148.4450418,-171422.4666724,268.5303886,-190259.41583,5.0,17856.5280927,24.782388,0.8503047
-44.5950184,1250813223851000716,115.9171557,534.5212295,-0.0306796,806.545727,5189.1417406,3470.2221271,110.3121114,325.185446,23.0,1283.7464814,1.2492503,-0.9752395
-44.5087753,1250813223851000751,308076.0695328,1199.7941871,-584.1315206,297471.7708051,929140.4933129,404954.5886585,565.1722538,100786.2371717,4.0,382127.8112225,279.3751652,-0.1595032
-44.6143515,1250813223851001916,41472.6512255,526.1649111,-811.6104895,30160.1236225,110427.6638331,11243.0111152,260.8136016,-43841.2378588,4.0,66363.1075812,95.0653855,1.2049849
-44.5141358,1250813223851000775,16895.1156279,438.3320818,-69.2443557,31109.5576138,12551.2745316,-40303.3267247,244.7873032,-68152.2962602,3.0,40703.065111,74.9905328,0.6655845
-44.5174668,1250813223851001440,83.1934705,475.3070464,-15.670461,1090.0829921,3440.4080267,960.7474409,273.2413127,-2142.9512286,3.0,2959.496384,4.7949421,-1.4714563
-44.5400402,1250813223851001685,67.9351099,700.047683,31.2743582,892.3816767,3858.445735,1484.7223924,396.9139912,-4166.7208448,3.0,4398.4138081,3.6555586,-1.6521867
-44.6582224,1250813223851001769,52760.3189824,535.5242361,110.2925904,15733.7206328,31847.3878795,-98291.3955176,235.1524796,-135202.0080403,5.0,68419.8907366,80.8863868,2.047707
-44.6550288,1250813223851001210,207.5610291,393.2930125,19.052759,1787.5818581,4728.1435768,-567.0203625,221.9443393,-3480.2214972,3.0,4316.6183368,7.3965892,1.4039187
-44.6581447,1250813223851001167,19102.5639317,498.3548997,35.4277702,18274.8786271,-32224.2638471,-89650.2081206,196.9840283,-115392.5332737,6.0,30702.0640503,49.5746741,0.9839328
-44.6143972,1250813223851001393,37260.2288355,814.9607575,98.6608027,66695.4683684,339236.4063327,231497.9572203,354.1559491,157679.1669171,5.0,76209.1853474,78.5193824,0.1656373
-44.5294114,1250813223850999954,142.7940345,756.1982267,-0.8971722,856.3264533,1296.4894312,-3498.6721872,172.4562132,-7759.9336854,19.0,2152.2830665,1.3943712,0.1130753
-44.5189901,1250813223850999955,162.5001134,575.617181,-1.2862322,2309.7952106,4276.459698,-371.4220899,233.3779214,-3987.3339335,6.0,3110.2802246,3.9669353,0.2325666
-44.4721542,1250813223850999962,124.8025967,678.2403935,-0.8793036,3231.5062599,3053.9350771,397.9524904,316.5097414,-6224.109503,4.0,4560.8273692,4.9110741,-0.310242
-44.586777,1250813223850999996,4882764.7118164,1589.7618627,137.5755425,906947.5534076,2790321.265292,574053.7298823,335.1494858,-33625.3527545,16.0,904122.7079026,522.0591022,0.1815544
-44.574054,1250813223851000001,4462980.6048213,1562.0939434,-1000.1459344,442869.692662,1214573.5469705,240409.8934624,291.3607777,-461384.4142808,22.0,603911.7113723,380.9694726,-0.3929233
-44.5432578,1250813223850999984,207.1868776,997.4389242,2.2953071,2133.4608976,7287.094516,477.0699418,263.3883505,-5844.4230026,14.0,3609.4830736,2.3112888,0.2526027
-44.5143696,1250813223850999988,86843.1096204,619.6435214,-132.225828,51326.2016637,268304.4261742,115295.1563203,246.5310588,34510.7504985,6.0,83132.4803078,104.1167303,0.5063953
-44.5087408,1250813223850999992,33230.8028656,843.6462442,-6.9813241,26113.9104617,-190010.4199488,-280498.1495455,314.366484,-370386.3648347,7.0,65033.7116744,63.0878132,0.4216182
-44.5845964,1250813223850999994,214.0866965,679.8523283,-1.7473304,1643.7523317,474.5128581,-4099.5715108,147.715165,-8069.8249819,21.0,2240.099609,2.1685373,0.3120133
-44.5564888,1250813223850999913,429.4723606,861.7926152,-0.626698,1842.8188687,3096.8756904,-3636.3919962,150.3485591,-8392.411503,32.0,3048.897664,2.5417889,0.6998765
-44.5457758,1250813223850999904,66.0445243,579.6648201,-1.3070392,1686.0016353,1256.2301601,-1293.5371895,232.0483662,-3763.3772571,6.0,2143.5905166,2.8801196,-0.1710492
-44.5147526,1250813223850999918,2631.7874881,510.3342826,2107155.4473736,12236.0007163,39056.2518703,22016.6915934,294.0778993,3286.8555297,3.0,18179.6137551,28.9942193,-0.8921509
-44.5123164,1250813223850999901,93.7123508,566.6819054,0.7665967,792.6002799,4237.2860675,2778.5419009,122.9264261,-661.7117477,21.0,1241.2347542,0.8284472,-1.2792934
-44.5042534,1250813223850999939,135.267193,486.3397185,-0.708681,1208.2951414,3237.6016848,1145.5810753,161.1772315,-2787.3498248,9.0,1953.0572448,2.7220703,-1.0374086
-44.5247501,1250813223850999929,89.0088026,506.1318186,4.5503339,433.3229352,2789.0479888,1154.6111433,224.9066149,-2590.7657439,5.0,2387.2202488,2.8091806,-1.0538732
-44.4901261,1250813223850999926,381110.9639858,761.191745,-3.5015659,117571.3623029,551623.9836465,167371.7241299,250.1366822,27977.597393,8.0,196133.5740326,188.9893279,0.7334915
-44.5122933,1250813223850999934,0.9062261,574.0406401,1.05826,70.9198727,4064.2592878,3800.3690324,323.7944961,3404.5080473,3.0,362.1748444,-0.6735375,-1.6576341
