decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ
-44.5539758,1251261824595134384,0.8637408,389.3688837,1.7678449,-2794.9343072,-3162.905374,257.1500875,-3318.1237444,2.0,369.9507989,-0.0936964
-44.6189959,1251261824595134877,65.1178235,351.3732183,14.8024909,1715.3521764,-64.8622347,247.2520357,-2301.0451029,2.0,2840.0217521,7.0394782
-44.6561553,1251244232409091310,41798.9304354,924.7339494,3665.8361319,-183933.2840142,-283801.2281264,448.9008376,-411362.9036768,4.0,101036.7262521,84.9874965
-44.6464678,1251244232409090976,84221.9598234,561.6158733,3897.5452145,120578.6908633,-30629.8136315,383.5434088,-112566.4577582,2.0,164858.515591,254.3110807
-44.4818692,1251253028502110777,45081.5729989,893.690242,366.9496165,457783.053811,286414.3613404,614.7726018,186989.1353646,2.0,191480.2160376,188.2251084
-44.5023054,1251253028502110776,0.6583283,314.899355,23720.6989869,2640.5958012,2458.1869903,222.6597236,2279.2582834,2.0,255.5042091,-0.584476
-44.5607242,1251253028502110741,17.9055956,529.3620863,3.4126419,2712.8947094,2047.2615538,263.9432465,-14.4311969,4.0,1333.4869328,0.5863226
-44.5641374,1251253028502110738,9.1739412,513.746136,-3.6704085,2302.1001858,1532.2294571,272.9323107,598.0510387,3.0,946.7436342,0.9642518
-44.5077766,1251253028502110831,26004.4054309,552.547303,-67.2975377,90484.6744075,13041.248976,268.5955433,-24361.6225645,4.0,53507.4659144,80.9713241
-44.5771057,1251253028502110793,66.7635544,615.6615823,-4.0836705,4380.4959394,727.5848314,192.7188511,-820.6200507,10.0,1639.9491793,1.3788371
-44.5931106,1251253028502110791,6252.4258278,689.6359247,175.3738813,71361.1106329,21707.0839556,392.8450815,1618.5109416,3.0,39802.4199376,38.8063187
-44.4781862,1251253028502110814,179173.0016098,991.091541,1134.7811064,58127.51423,-223804.6331996,479.519424,-419676.7213377,4.0,234620.0944899,217.628579
-44.571241,1251253028502110653,0.034314,305.6173082,-0.0974341,-1900.9581733,-1937.0435076,215.295803,-1981.1204347,2.0,56.6832786,-0.9826916
