decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ,rPSFluxSkew
-44.6225841,1250355827013845298,10270379.2812058,1422.0171252,1.0781293,1230031.9566145,2958079.0618036,501402.3750428,286.4798197,-192277.4994006,13.0,1233623.1559838,799.1261439,-0.0774753
-44.4719038,1250355827013845390,1419814.8865241,590.3514591,-253.3720928,174011.7783277,783451.2441096,36284.1153698,147.6942418,-70234.7053787,10.0,272716.3822099,345.4054927,1.1471831
-44.5135869,1250355827013845317,654875.4338551,895.4249375,-195.6508617,99070.8189431,771444.645978,204654.2725375,295.8804374,-100136.6145165,8.0,253738.9468204,225.7858664,0.4182821
-44.4891781,1250355827013845354,76.8457876,194.9797286,-162.1731507,1048.6797155,4520.1835019,3145.5447599,99.3110824,1847.4474118,3.0,1346.6505647,4.6140525,0.6278976
-44.5207525,1250355827013845123,1.0902044,256.8857907,-0.3116654,143.1793903,-1136.4832056,-1283.5109754,145.9992053,-1527.6841706,3.0,197.9281159,-0.4597335,-0.769777
-44.480738,1250355827013845149,42.8026413,422.4072379,1.544051,341.4834106,857.1347319,-1601.7155659,169.4996672,-2965.8158811,6.0,1288.9055188,1.0202075,1.5452457
-44.4717541,1250355827013845151,199209.367697,365.9512546,-65.6666738,30283.4929948,141420.6267884,-62777.7062932,138.6831558,-121859.345558,6.0,93080.620061,150.6995218,1.6889262
-44.4716604,1250355827013845021,1067.7426388,282.4739189,11.7669233,4596.2048096,-107773.5789193,-113831.2414717,160.9533974,-119849.6529908,3.0,6095.1498178,18.5172799,-0.6920127
-44.4716242,1250355827013845013,11740.0430137,439.1939199,-146.6309773,26501.4106058,49927.7076721,13223.6198377,253.493211,-17413.5103968,3.0,33924.0678789,61.692114,0.621408
-44.5135498,1250355827013845009,11532960.0737862,1371.4269615,314.0437414,998214.0363591,3152656.1650872,370756.3907305,246.9711476,-206781.3084494,16.0,1282065.7462989,741.2594363,0.2737479
-44.536707,1250355827013845008,537.3842205,587.0110451,0.7248709,1513.1403223,630.827035,-4424.049429,105.0940617,-9412.7424636,31.0,2443.2143638,2.7431898,0.0185606
-44.4821839,1250355827013845006,485.6372963,564.5702414,-0.8076616,1397.6035963,2633.6248684,-1820.5969616,92.428328,-5551.2623911,37.0,2047.6915853,2.5063075,0.2603073
-44.4718033,1250355827013845004,546322.0617469,428.0765766,-62.8123842,59491.1732156,443554.2112443,-30070.8413397,119.9416364,-107267.4126845,10.0,158461.8285728,183.525945,2.3653791
-44.482248,1250355827013845448,72.6972708,393.6107005,4.0133794,830.1096879,2567.0734084,1008.9492653,214.5415998,-2274.1510977,3.0,2588.937327,4.0362742,-1.5338815
-44.4820321,1250355827013845077,19.8363375,423.3122084,-6.9335708,14.8130615,1883.0172619,1308.7860517,238.1660284,-674.6721091,3.0,1472.4251124,1.3274426,-1.7318536
-44.4714703,1250355827013845074,290369.9819557,450.2324173,11.3782984,60782.1831509,291883.0934561,-3603.1341613,154.7795723,-57190.8285156,7.0,122980.0372233,178.4010903,1.7713074
-44.4937454,1250355827013845063,12.2800367,947.9461495,1.1200655,1243.3454408,14795.2246429,13028.6573433,473.8957696,10686.8895109,4.0,1916.6888649,1.5210104,-0.5462784
-44.4842858,1250355827013845043,526.0295872,592.1055317,0.0369364,1609.0147154,1031.4640596,-3265.5757977,89.9929524,-6793.6888925,43.0,2047.2706256,2.4406863,0.3600115
-44.4937186,1250355827013845042,401021.3588373,943.6214809,18.936871,3605.7231575,27763.1724235,-1995.5751972,128.1662305,-383629.6215013,53.0,55047.8373962,16.3357925,-7.1844852
-44.4808026,1250355827013845041,445.9203111,454.2837094,-0.241297,1068.6410867,2440.0433644,-1027.7090374,77.5816053,-4389.3463372,34.0,1610.0536665,2.6694352,0.0607445
-44.5289131,1250355827013845040,409.0730096,444.1320933,0.7039769,1102.6613011,568.6892928,-2990.5547969,81.9558303,-6009.9719503,29.0,1717.1621778,2.6370122,0.1728252
