decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.5868562,1249106781804692640,0.0105986,223.8501211,-0.1146606,16.3487622,-1296.290037,-1315.2685219,156.7359002,-1328.9875615,2.0,23.1206413,-0.9946862
-44.5914822,1249106781804692542,30616.8585332,424.2285719,-589.260527,1696.1872629,116072.5735659,76013.0068798,238.2064076,31707.6448647,3.0,48225.9250075,98.8029836
-44.6374293,1249106781804692749,1.7600551,209.1406997,18.888158,197.328071,-991.7508975,-1147.0790551,145.3311464,-1386.4070396,2.0,279.0640343,0.5305389
-44.6447636,1249106781804692753,3.2053224,397.7591519,-68.5829661,511.7081057,-1572.5174307,-1905.0910409,267.7303373,-2595.9336421,2.0,723.664543,0.853766
-44.5921259,1249106781804692786,67878.9429942,346.789352,-2231.3707233,65803.6525817,79322.9009141,-17088.3405077,223.5853531,-52284.4042493,2.0,93060.4179347,214.7405635
-44.5919707,1249106781804692767,94844.2927089,378.3995324,-2049.3892632,27837.2034963,107275.0491997,15855.1879681,191.6441755,-28992.7427355,3.0,71996.5433506,207.090697
-44.575563,1249106781804692666,1.5183514,206.4481082,-3.9145667,140.7633265,1251.8790098,1048.4149223,115.7003358,902.6134403,3.0,175.7241861,-0.205557
-44.5577964,1249106781804692683,1.5563387,447.6463782,54725.2963345,399.6041773,-1830.6842272,-2109.2880164,305.2779477,-2629.8925817,2.0,565.1256471,0.3334074
-44.6037626,1249106781804692663,7.63623,270.9689893,17.688634,529.6843866,594.9576568,35.3830417,191.3749492,-464.4111164,2.0,749.0868433,1.955561
-44.6247896,1249106781804692665,323.2457846,677.9008462,-1034732.2791325,8620.8713712,-301486.0786217,-310534.3443564,478.906088,-318727.8213641,2.0,12191.7532126,16.9933651
-44.5868821,1249106781804692709,52.6413748,208.3668245,16.8998716,1072.3229468,1137.6544937,-102.8845698,145.9659256,-1006.9913998,2.0,1516.4936546,6.1342314
-44.634477,1249106781804692692,1.2187031,219.4181156,0.0010187,88.5531714,1447.3067321,1237.9614319,107.0048463,1142.9525285,4.0,147.7008787,-0.7401904
-44.4799898,1249106781804692240,13560.0087095,755.7358819,-161.8290921,16796.155486,243639.7938438,195901.3614332,434.3665431,130731.5098629,3.0,60920.6214053,63.1919139
-44.5197834,1249106781804692250,84.7440528,461.5641591,-151.0831809,3011.4977601,3575.3112278,154.3053575,324.0970493,-2447.6842923,2.0,4258.9009754,8.0442535
-44.6112019,1249106781804692255,291.5623958,319.5387227,-153.3884911,1633.3304806,-6641.877794,-9164.5416078,181.2857978,-14536.9013438,3.0,4167.4925596,8.7790164
-44.5504057,1249106781804692216,247190.2547731,928.0277513,962.9843913,70868.7445565,662010.608275,320471.8610688,287.4766654,124034.8939255,10.0,160153.4187858,128.5638113
-44.6276489,1249106781804692231,0.7364159,219.4294645,-0.2532567,27.9541656,1332.7431554,1224.8586403,123.6418587,1108.1236618,3.0,122.4150069,-0.7816285
