diaObjectId,ra,dec,g_psfFluxMean,r_psfFluxMean,i_psfFluxMean,g_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,g_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,g_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,g_psfFluxMAD,r_psfFluxMAD,i_psfFluxMAD,g_psfFluxNdata,r_psfFluxNdata,i_psfFluxNdata,nDiaSources,Region,Class
579583227887354659,7.277627229704029,-72.45360135385164,,6659.35595703125,,,,,,0.0,,,,,,0.0,,,1.0,,1,47,RR Lyrae
579574706672238627,4.974821469416458,-72.68337256460956,2142.08544921875,,,,,,0.0,,,,,,0.0,,,1.0,,,1,47,RR Lyrae
579574569233285135,6.011727889616931,-72.65460750224285,-2534.255615234375,,-7.695698261260986,,,7380.872768309644,5.17674e-13,,254.268,,,15.224241527485553,0.0,,5219.07,1.0,,2.0,3,47,RR Lyrae
579575187708576418,6.298867781574384,-72.61168432694438,7049.521484375,,2416.18212890625,,,,0.0,,0.0,,,,0.0,,0.0,1.0,,1.0,2,47,RR Lyrae
579575256428052817,5.98035031209009,-72.59052603262303,2554.464599609375,-6780.240234375,-801.362060546875,,2091.4039952835337,5294.444401019747,0.0,36.3842,522.446,,4.992266124607254,12.702006159964842,0.0,1478.85,4499.99,1.0,2.0,4.0,7,47,RR Lyrae
579575256428052807,6.028940771813813,-72.57591356922177,4831.474609375,-25320.78515625,-179.4252166748047,,30822.79166989476,12747.179363114758,1.63359e-12,5837.17,4387.01,,67.36538435023088,14.667107870804792,0.0,21795.0,1060.87,1.0,2.0,6.0,9,47,RR Lyrae
579575256428052608,6.131205526337961,-72.53586999197678,3551.46923828125,2256.9677734375,-683.5949096679688,,20084.91787203299,15072.81051891997,0.0,23896.6,3197.09,,43.76605455187027,21.391474919764462,0.0,7401.71,1991.17,1.0,10.0,4.0,15,47,RR Lyrae
579575256428052935,5.749369515742543,-72.56251537990946,-2458.85791015625,-3932.51611328125,-4707.50927734375,33713.21752361103,15083.356053421576,19146.177523577953,9085.75,12708.9,5545.66,91.21931411167257,33.28217558192767,24.862708036419072,23838.8,6484.89,1207.25,2.0,8.0,4.0,14,47,RR Lyrae
579575874903343585,6.531025733335078,-72.41098196693488,1884.615478515625,-1872.7042236328125,-1940.932861328125,17228.44461872595,10182.52623080852,7189.145684835862,19402.7,21548.7,3130.32,48.34970352382358,25.344946759617372,11.968274957164073,16024.6,10336.2,1457.33,8.0,24.0,11.0,43,47,RR Lyrae
579583227887354430,7.167492869897097,-72.40112243724985,3363.926513671875,5833.42041015625,2972.47412109375,462.9752302125365,6868.587464424725,6997.029156205496,1.38672,3681.34,429.848,0.35303563287817397,16.604843196866906,9.78270038432315,327.373,3475.09,338.381,2.0,9.0,3.0,14,47,RR Lyrae
579575806183866665,6.853236871432857,-72.39400806406827,1944.2620849609375,1703.18896484375,2381.46630859375,2990.5621021599254,75.82718953975018,48.77742039000923,443.291,0.0608853,0.016645,7.253839757953887,-0.9690736817614533,-0.9916425520271432,2628.85,53.6179,34.4908,6.0,2.0,2.0,10,47,RR Lyrae
579583296606830677,6.987267692323181,-72.36562139498507,2466.480224609375,2779.14501953125,1508.1202392578125,7425.337072904239,6637.813282903855,6609.235257560823,3074.45,5561.62,1134.29,19.75028594603143,18.910081045368425,14.631244080613016,1567.74,6167.58,938.822,6.0,13.0,5.0,24,47,RR Lyrae
579575874903343152,6.7356329202693175,-72.36900356019792,2046.8558349609375,2359.760986328125,-824.2112426757812,8023.468987768239,9615.826284354818,8010.566284893689,2664.47,18748.3,2657.17,21.39834151398647,24.317179885901663,16.562392304106314,6810.01,10337.4,4112.86,6.0,24.0,8.0,38,47,RR Lyrae
579583915082121362,7.414424737894455,-72.27314771411788,,-555.9913330078125,605.3284301757812,,6018.328340766034,6668.288589571718,,4525.28,525.233,,15.168947480275488,11.802292950225882,,3213.56,1333.85,,14.0,3.0,17,47,RR Lyrae
