galaxy,name,ra,dec,vmag,errvmag,bmag,errbmag,rmag,errrmag,imag,errimag,per_fo,per_fu,dominant_mode,ampv,err_ampv,ampb,err_ampb,ampr,err_ampr,ampi,err_ampi,ampv_sec,err_ampv_sec,ampb_sec,err_ampb_sec
F,A115625,39.564875,-34.840639,21.323,0.026,21.611,0.024,21.143,0.059,20.925,0.031,0.36726727,0.4502879,1,0.61,0.07,0.76,0.06,NaN,NaN,NaN,NaN,NaN,NaN,0.19,0.03
F,A117688,39.572042,-34.520583,21.408,0.028,21.646,0.025,21.089,0.048,NaN,NaN,0.379218,0.89228848,1,0.56,0.05,0.68,0.06,0.64,0.34,NaN,NaN,NaN,NaN,0.19,0.02
F,A119208,39.574,-34.829028,21.341,0.022,21.616,0.023,21.215,0.04,20.948,0.047,0.445591,0.61226688,1,0.38,0.04,0.45,0.04,NaN,NaN,NaN,NaN,0.2,0.04,0.21,0.03
F,A235107,39.768792,-34.116944,21.496,0.028,21.819,0.026,21.36,0.216,20.937,0.061,0.397034,0.38717016,1,0.32,0.04,0.38,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,A241835,39.777833,-34.138028,21.328,0.026,21.618,0.025,21.308,0.046,20.969,0.082,0.399472,0.53613751,1,0.5,0.06,0.68,0.06,NaN,NaN,NaN,NaN,0.3,0.05,0.42,0.04
F,A286691,39.83675,-34.072,21.376,0.033,21.689,0.024,21.244,0.147,20.934,0.081,0.413946,0.5557318,1,0.26,0.04,0.41,0.04,NaN,NaN,NaN,NaN,0.28,0.06,0.3,0.03
F,A311494,39.872208,-34.020083,21.353,0.028,21.627,0.026,21.163,0.086,20.901,0.066,0.373546,0.5104532,1,0.36,0.05,0.66,0.05,NaN,NaN,NaN,NaN,0.24,0.04,0.37,0.03
F,A322567,39.8875,-33.960306,21.389,0.027,21.754,0.024,NaN,NaN,21.003,0.07,0.353489,0.46174616,1,0.66,0.07,0.74,0.04,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.03
F,A331006,39.899333,-34.117556,21.442,0.029,21.743,0.026,21.29,0.041,21.099,0.103,0.36132912,0.47121154,1,0.39,0.05,0.56,0.05,NaN,NaN,NaN,NaN,0.48,NaN,NaN,NaN
F,A427173,40.018208,-34.888556,21.336,0.026,21.518,0.019,21.074,0.101,21.054,0.098,0.409556,0.547649,1,0.26,0.04,0.56,0.05,NaN,NaN,NaN,NaN,NaN,NaN,0.18,0.03
