FBW,Vmag,V-Ic,e_Vmag,e_V-Ic,E(B-V),Per,Class,_RA,_DE
J023803.9-343822,19.478,0.483,0.007,0.012,0.036,15.22830,P2C,39.5162,-34.6394
J023811.9-344023,20.651,1.087,0.015,0.021,0.036,1.21327,P2C,39.5496,-34.6731
J023843.0-344825,19.801,0.558,0.016,0.031,0.031,1.04503,AC,39.6792,-34.8069
J023852.4-343012,19.905,0.602,0.007,0.011,0.027,1.24968,AC,39.7183,-34.5033
J023853.4-343048,19.712,0.564,0.006,0.010,0.027,2.57976,P2C,39.7225,-34.5133
J023907.1-343316,20.786,0.774,0.017,0.025,0.026,0.50812,AC,39.7796,-34.5544
J023926.9-342806,20.272,0.667,0.010,0.016,0.025,2.08323,P2C,39.8621,-34.4683
J023926.8-343122,20.828,0.673,0.017,0.028,0.024,0.50398,AC,39.8617,-34.5228
J023927.0-342427,21.052,0.082,0.019,0.042,0.026,0.56965,blue,39.8625,-34.4075
J023937.7-343621,20.645,0.725,0.015,0.024,0.025,0.54600,AC,39.9071,-34.6058
J023941.5-343125,20.616,0.475,0.012,0.022,0.024,0.57345,AC,39.9229,-34.5236
J023945.2-344314,21.230,0.481,0.019,0.037,0.024,1.14259,P2C?,39.9383,-34.7206
J023946.2-343001,20.568,0.786,0.014,0.023,0.023,0.92161,AC,39.9425,-34.5003
J023952.5-343340,20.252,0.904,0.014,0.023,0.024,1.31071,AC,39.9687,-34.5611
J023953.5-342433,20.846,0.656,0.015,0.026,0.022,0.61144,AC,39.9729,-34.4092
J023954.8-343601,21.022,0.478,0.016,0.031,0.025,0.57442,AC,39.9783,-34.6003
J024000.9-341846,20.828,0.476,0.015,0.025,0.023,0.41592,AC,40.0037,-34.3128
J024002.7-341928,20.362,0.849,0.009,0.015,0.022,0.53299,AC,40.0112,-34.3244
J024010.2-343212,20.624,0.412,0.013,0.025,0.022,1.33531,P2C,40.0425,-34.5367
J024016.9-343641,20.840,0.430,0.014,0.030,0.025,0.53294,AC,40.0704,-34.6114
J024017.4-342024,19.994,0.608,0.007,0.011,0.021,1.19847,AC,40.0725,-34.3400
J024022.8-342802,20.480,0.526,0.011,0.019,0.020,0.83757,AC,40.0950,-34.4672
J024050.2-344335,20.826,0.729,0.015,0.024,0.024,0.50578,AC,40.2092,-34.7264
J024058.3-344552,20.786,0.663,0.018,0.028,0.024,0.48106,AC,40.2429,-34.7644
