FBW,o_Vmag,Vmag,e_Vmag,o_V-Ic,V-Ic,e_V-Ic,E(B-V),OName,n_FBW,_RA,_DE
J023800.0-344422,32,18.562,0.021,32,1.860,0.026,0.034,,,39.5000,-34.7394
J023806.1-343119,30,20.233,0.065,30,3.765,0.070,0.033,,,39.5254,-34.5219
J023812.6-345606,32,18.504,0.022,32,2.291,0.026,0.033,"DK1, DI30",,39.5525,-34.9350
J023817.1-342548,32,18.591,0.023,32,2.314,0.030,0.029,"S3, DI13",,39.5712,-34.4300
J023821.3-343618,32,18.335,0.021,32,1.942,0.026,0.034,,?,39.5887,-34.6050
J023822.0-345213,32,17.960,0.014,32,1.577,0.019,0.032,,,39.5917,-34.8703
J023822.6-343804,32,18.731,0.023,31,2.296,0.029,0.035,DK15,,39.5942,-34.6344
J023826.3-342533,30,18.451,0.017,30,1.649,0.022,0.029,,,39.6096,-34.4258
J023830.2-344503,28,18.324,0.017,28,1.875,0.021,0.033,,,39.6258,-34.7508
J023833.4-342824,32,18.403,0.018,32,1.717,0.025,0.029,,?,39.6392,-34.4733
J023840.1-343225,31,18.249,0.017,31,1.993,0.021,0.030,S5,?,39.6671,-34.5403
J023842.1-344740,28,18.415,0.018,28,1.624,0.023,0.031,DK9,"?, very low ampl.",39.6754,-34.7944
J023844.5-344825,21,18.545,0.053,26,2.572,0.062,0.030,,"?, in glob. cluster",39.6854,-34.8069
J023851.5-343525,29,18.477,0.018,29,2.483,0.022,0.029,"S8, DK32",,39.7146,-34.5903
J023853.0-344919,32,19.699,0.043,32,3.214,0.048,0.029,DK8,,39.7208,-34.8219
J023855.4-344916,32,17.735,0.013,32,2.271,0.018,0.029,,?,39.7308,-34.8211
J023856.9-344634,32,19.793,0.047,32,3.620,0.051,0.029,DI28,,39.7371,-34.7761
J023857.0-344749,32,18.278,0.017,32,2.218,0.021,0.029,"DK7, DI29",,39.7375,-34.7969
J023858.2-343211,31,18.385,0.019,31,2.327,0.023,0.027,"S11, DK36",,39.7425,-34.5364
J023905.5-343250,31,18.364,0.018,31,1.680,0.023,0.026,,,39.7729,-34.5472
J023910.7-343919,5,19.635,0.070,2,3.697,0.070,0.026,"S18, DI26",,39.7946,-34.6553
J023911.2-345302,32,17.819,0.013,32,1.653,0.018,0.029,,?,39.7967,-34.8839
J023911.9-343741,31,18.310,0.019,31,2.004,0.024,0.026,"S20, DK30, DI24",,39.7996,-34.6281
J023912.4-343358,31,18.151,0.015,31,2.029,0.019,0.025,"S21, DK35, DI21",,39.8017,-34.5661
J023916.7-343231,31,18.108,0.014,31,1.776,0.019,0.025,DI18,,39.8196,-34.5419
J023917.8-345905,27,18.474,0.019,27,1.668,0.024,0.030,,,39.8242,-34.9847
J023921.3-342329,29,18.185,0.017,29,1.948,0.023,0.027,S28,irr.,39.8387,-34.3914
