FBW,o_Vmag,Vmag,e_Vmag,o_Icmag,Icmag,e_Icmag,WS,Period,E(B-V),_RA,_DE
J023926.4-344027,28,21.321,0.028,27,20.799,0.042,1.03,0.37206,0.025,39.86,-34.6742
J023749.8-342427,24,21.389,0.027,24,20.755,0.036,1.422,0.54365,0.028,39.4575,-34.4075
J023750.8-342736,32,21.346,0.021,31,20.744,0.035,2.741,0.58252,0.03,39.4617,-34.46
J023751.9-342620,32,21.419,0.023,32,20.887,0.033,1.139,0.58052,0.029,39.4662,-34.4389
J023752.8-344615,32,21.469,0.029,32,20.56,0.033,2.005,0.16459,0.034,39.47,-34.7708
J023753.4-345215,28,21.344,0.026,28,20.781,0.035,1.584,0.5926,0.035,39.4725,-34.8708
J023755.0-343726,30,21.401,0.026,29,20.911,0.035,1.506,0.40322,0.035,39.4792,-34.6239
J023756.0-342732,32,21.468,0.02,32,21.101,0.036,5.965,0.33797,0.03,39.4833,-34.4589
J023756.1-344332,31,21.544,0.022,31,20.849,0.036,2.666,0.51202,0.034,39.4837,-34.7256
J023756.6-343507,32,21.392,0.022,32,20.766,0.031,2.208,0.54362,0.035,39.4858,-34.5853
J023757.0-342201,32,21.455,0.021,32,20.838,0.032,2.497,0.56046,0.028,39.4875,-34.3669
J023757.0-344240,32,21.474,0.024,32,21.015,0.04,3.505,0.56818,0.035,39.4875,-34.7111
J023757.6-343244,32,21.359,0.022,32,20.95,0.035,2.609,0.5917,0.034,39.49,-34.5456
J023758.5-344604,30,21.343,0.023,30,20.715,0.034,1.46,0.58916,0.034,39.4937,-34.7678
J023758.8-344727,31,21.348,0.021,31,20.786,0.033,4.824,0.3467,0.034,39.495,-34.7908
J023759.1-344916,31,21.4,0.021,31,20.728,0.032,3.231,0.61108,0.034,39.4962,-34.8211
J023759.6-343545,31,21.282,0.022,30,20.719,0.031,1.433,0.41234,0.035,39.4983,-34.5958
J023759.6-344710,32,21.321,0.021,32,20.794,0.034,1.607,0.55731,0.034,39.4983,-34.7861
J023800.1-342206,31,21.347,0.022,31,20.741,0.031,1.268,0.61252,0.028,39.5004,-34.3683
J023800.1-343528,30,21.504,0.023,29,20.763,0.035,1.421,0.37461,0.035,39.5004,-34.5911
J023800.3-342430,32,21.395,0.021,32,20.814,0.033,3.383,0.60619,0.029,39.5012,-34.4083
J023800.4-343016,31,21.387,0.021,31,20.808,0.031,2.809,0.37532,0.032,39.5017,-34.5044
J023801.1-343646,32,21.589,0.024,31,20.925,0.035,2.535,0.56237,0.035,39.5046,-34.6128
J023801.4-345048,30,21.182,0.02,29,20.343,0.029,2.599,0.67512,0.034,39.5058,-34.8467
J023801.6-342919,31,21.46,0.022,31,20.791,0.033,4.939,0.56304,0.032,39.5067,-34.4886
J023802.1-344422,31,21.398,0.024,31,20.878,0.038,1.782,0.56136,0.034,39.5087,-34.7394
J023802.8-342931,13,21.344,0.026,13,20.836,0.056,2.305,0.57273,0.032,39.5117,-34.4919
J023804.3-344433,32,21.43,0.023,32,20.876,0.035,1.285,0.62225,0.035,39.5179,-34.7425
J023804.6-342108,32,21.424,0.022,32,20.802,0.033,1.365,0.60205,0.029,39.5192,-34.3522
J023804.7-344159,31,21.399,0.024,31,20.782,0.034,2.121,0.53559,0.035,39.5196,-34.6997
J023806.5-341952,32,21.36,0.019,32,20.749,0.03,2.993,0.56235,0.028,39.5271,-34.3311
J023806.5-344350,32,21.363,0.023,32,20.778,0.035,1.229,0.6256,0.035,39.5271,-34.7306
J023806.9-344615,32,21.346,0.023,32,20.718,0.034,1.188,0.56588,0.034,39.5287,-34.7708
J023807.2-342521,32,21.336,0.019,32,20.557,0.027,2.835,0.59151,0.029,39.53,-34.4225
J023807.2-344844,32,21.272,0.023,32,20.821,0.035,2.083,0.28775,0.034,39.53,-34.8122
J023808.3-344047,28,21.396,0.026,27,20.811,0.038,1.583,0.64647,0.036,39.5346,-34.6797
J023808.8-344509,32,21.304,0.02,32,20.846,0.035,3.418,0.53501,0.034,39.5367,-34.7525
J023810.1-342616,32,21.463,0.022,32,20.796,0.034,2.945,0.59144,0.029,39.5421,-34.4378
J023810.7-343401,32,21.466,0.021,32,20.774,0.033,3.688,0.58577,0.035,39.5446,-34.5669
J023811.0-345530,32,21.324,0.022,32,20.797,0.034,1.478,0.28936,0.033,39.5458,-34.925
J023812.9-344439,32,21.362,0.024,32,20.906,0.036,2.118,0.5428,0.035,39.5537,-34.7442
J023812.9-345111,32,21.369,0.022,32,20.787,0.035,4.619,0.58726,0.033,39.5537,-34.8531
J023813.5-345825,32,21.309,0.024,32,20.779,0.032,2.312,0.39833,0.033,39.5562,-34.9736
J023816.3-345525,31,21.427,0.025,31,20.785,0.032,1.993,0.73723,0.033,39.5679,-34.9236
J023816.8-345648,32,21.21,0.019,32,20.655,0.029,3.643,0.65953,0.033,39.57,-34.9467
J023818.0-345752,32,21.406,0.022,32,20.78,0.034,2.999,0.59404,0.033,39.575,-34.9644
J023818.3-344315,32,21.195,0.02,32,20.642,0.029,1.494,0.2838,0.035,39.5762,-34.7208
J023819.5-342546,12,21.404,0.026,12,20.754,0.054,1.835,0.54797,0.029,39.5812,-34.4294
J023819.6-342439,30,21.386,0.022,30,20.84,0.035,1.183,0.61665,0.029,39.5817,-34.4108
J023819.9-343802,32,21.493,0.024,32,20.893,0.032,0.905,0.55108,0.036,39.5829,-34.6339
J023819.9-345618,31,21.507,0.025,31,20.943,0.038,3.269,0.55445,0.033,39.5829,-34.9383
J023820.6-345357,31,21.243,0.021,31,20.728,0.032,1.583,0.61515,0.032,39.5858,-34.8992
J023821.6-344525,32,21.173,0.019,32,20.781,0.032,3.13,0.62817,0.034,39.59,-34.7569
J023821.7-345157,32,21.3,0.021,32,20.787,0.032,1.631,0.61012,0.032,39.5904,-34.8658
J023822.2-344851,32,21.331,0.022,32,20.776,0.033,2.616,0.28982,0.033,39.5925,-34.8142
J023823.8-345125,31,21.409,0.022,31,21.021,0.038,3.27,0.5739,0.032,39.5992,-34.8569
J023824.6-343335,32,21.513,0.022,32,20.969,0.037,1.081,0.57956,0.034,39.6025,-34.5597
J023825.5-343249,32,21.473,0.022,32,21.077,0.039,2.016,0.31617,0.032,39.6062,-34.5469
J023826.7-343224,32,21.377,0.021,32,20.897,0.033,4.651,0.53789,0.032,39.6112,-34.54
J023827.0-342923,31,21.455,0.024,31,21.102,0.038,4.837,0.42953,0.031,39.6125,-34.4897
J023827.5-345156,32,21.347,0.022,32,20.742,0.034,2.458,0.62625,0.032,39.6146,-34.8656
J023828.0-343029,32,21.452,0.021,32,20.644,0.031,2.161,0.59722,0.03,39.6167,-34.5081
J023828.0-343221,31,21.202,0.02,30,20.478,0.028,0.938,0.4265,0.031,39.6167,-34.5392
J023828.6-342020,32,21.534,0.021,32,20.858,0.034,4.381,0.5352,0.029,39.6192,-34.3389
J023828.6-345416,32,21.344,0.02,32,20.832,0.033,2.145,0.62845,0.031,39.6192,-34.9044
J023828.8-342323,32,21.293,0.02,32,20.768,0.031,1.473,0.60243,0.029,39.62,-34.3897
J023829.5-343310,31,21.597,0.026,31,21.168,0.037,2.001,0.51869,0.032,39.6229,-34.5528
J023830.0-345639,31,21.43,0.023,31,20.781,0.035,1.682,0.59166,0.032,39.625,-34.9442
J023830.1-344308,13,21.468,0.033,13,20.886,0.066,1.302,0.57691,0.034,39.6254,-34.7189
J023831.3-342814,31,25.299,0.021,31,17.621,0.029,1.587,0.53505,0.029,39.6304,-34.4706
J023831.6-342122,32,21.441,0.022,32,20.68,0.03,2.89,0.57582,0.03,39.6317,-34.3561
J023831.9-343115,31,21.518,0.024,31,20.963,0.033,1.126,0.59493,0.031,39.6329,-34.5208
J023832.1-344359,32,21.223,0.02,32,20.622,0.03,1.052,0.65407,0.034,39.6337,-34.7331
J023832.4-344103,29,21.375,0.023,29,20.682,0.037,1.393,0.58765,0.034,39.635,-34.6842
J023832.5-345253,31,21.401,0.023,31,20.823,0.034,2.451,0.6023,0.031,39.6354,-34.8814
J023833.0-344408,30,21.497,0.026,30,20.864,0.042,1.57,0.54458,0.034,39.6375,-34.7356
J023834.0-343209,32,21.138,0.017,32,20.507,0.028,2.557,0.57019,0.031,39.6417,-34.5358
J023834.1-342149,32,21.46,0.023,32,20.898,0.036,2.904,0.63237,0.03,39.6421,-34.3636
J023834.1-342703,32,21.134,0.017,32,20.565,0.027,4.839,0.62728,0.029,39.6421,-34.4508
J023834.3-343057,32,21.657,0.023,32,21.153,0.04,2.577,0.54025,0.03,39.6429,-34.5158
J023835.1-343023,32,21.236,0.019,32,20.761,0.03,2.197,0.57872,0.03,39.6462,-34.5064
J023835.2-343449,32,21.452,0.025,32,20.913,0.035,1.188,0.59263,0.032,39.6467,-34.5803
J023835.5-345106,32,21.631,0.025,32,21.213,0.04,1.135,0.61778,0.031,39.6479,-34.8517
J023836.0-345719,31,21.456,0.026,31,20.711,0.035,2.622,0.57217,0.033,39.65,-34.9553
J023836.2-342822,32,21.316,0.019,32,20.532,0.028,5.833,0.38064,0.029,39.6508,-34.4728
J023836.8-343448,32,21.492,0.024,32,20.817,0.033,0.958,0.67041,0.03,39.6533,-34.58
J023837.0-342754,32,21.252,0.019,32,20.716,0.031,3.125,0.57242,0.029,39.6542,-34.465
J023837.1-345427,32,21.37,0.022,32,20.951,0.036,1.162,0.42006,0.031,39.6546,-34.9075
J023837.9-343646,13,21.235,0.027,13,20.704,0.051,1.392,0.57846,0.031,39.6579,-34.6128
