ra,dec,period,Vmag,e_Vmag,Icmag,e_Icmag,E(B-V),source,main category,class,V-Ic,e_V-Ic,bmag,e_bmag,rmag,e_rmag,imag,e_imag,period_fo,vamp,e_vamp,bamp,err_ampb,ramp,e_ramp,iamp,e_iamp,vamp_sec,e_vamp_sec,bamp_sec,e_bamp_sec,gmag,bpmag,rpmag,bp-rp
39.86,-34.6742,0.37206,21.321,0.028,20.799,0.042,0.025,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4575,-34.4075,0.54365,21.389,0.027,20.755,0.036,0.028,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4617,-34.46,0.58252,21.346,0.021,20.744,0.035,0.03,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4662,-34.4389,0.58052,21.419,0.023,20.887,0.033,0.029,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.47,-34.7708,0.16459,21.469,0.029,20.56,0.033,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4725,-34.8708,0.5926,21.344,0.026,20.781,0.035,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4792,-34.6239,0.40322,21.401,0.026,20.911,0.035,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4833,-34.4589,0.33797,21.468,0.02,21.101,0.036,0.03,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4837,-34.7256,0.51202,21.544,0.022,20.849,0.036,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4858,-34.5853,0.54362,21.392,0.022,20.766,0.031,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4875,-34.3669,0.56046,21.455,0.021,20.838,0.032,0.028,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4875,-34.7111,0.56818,21.474,0.024,21.015,0.04,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.49,-34.5456,0.5917,21.359,0.022,20.95,0.035,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4937,-34.7678,0.58916,21.343,0.023,20.715,0.034,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.495,-34.7908,0.3467,21.348,0.021,20.786,0.033,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4962,-34.8211,0.61108,21.4,0.021,20.728,0.032,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4983,-34.5958,0.41234,21.282,0.022,20.719,0.031,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4983,-34.7861,0.55731,21.321,0.021,20.794,0.034,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5004,-34.3683,0.61252,21.347,0.022,20.741,0.031,0.028,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5004,-34.5911,0.37461,21.504,0.023,20.763,0.035,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5012,-34.4083,0.60619,21.395,0.021,20.814,0.033,0.029,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5017,-34.5044,0.37532,21.387,0.021,20.808,0.031,0.032,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5046,-34.6128,0.56237,21.589,0.024,20.925,0.035,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5058,-34.8467,0.67512,21.182,0.02,20.343,0.029,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5067,-34.4886,0.56304,21.46,0.022,20.791,0.033,0.032,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5087,-34.7394,0.56136,21.398,0.024,20.878,0.038,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5117,-34.4919,0.57273,21.344,0.026,20.836,0.056,0.032,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5179,-34.7425,0.62225,21.43,0.023,20.876,0.035,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5192,-34.3522,0.60205,21.424,0.022,20.802,0.033,0.029,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5196,-34.6997,0.53559,21.399,0.024,20.782,0.034,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5271,-34.3311,0.56235,21.36,0.019,20.749,0.03,0.028,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5271,-34.7306,0.6256,21.363,0.023,20.778,0.035,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5287,-34.7708,0.56588,21.346,0.023,20.718,0.034,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.53,-34.4225,0.59151,21.336,0.019,20.557,0.027,0.029,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.53,-34.8122,0.28775,21.272,0.023,20.821,0.035,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5346,-34.6797,0.64647,21.396,0.026,20.811,0.038,0.036,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5367,-34.7525,0.53501,21.304,0.02,20.846,0.035,0.034,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5421,-34.4378,0.59144,21.463,0.022,20.796,0.034,0.029,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5446,-34.5669,0.58577,21.466,0.021,20.774,0.033,0.035,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5458,-34.925,0.28936,21.324,0.022,20.797,0.034,0.033,Bersier Wood,RRLyrae,,,,,,,,,,,,,,,,,,,,,,,,,,
